pt,eta,phi,charge,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,particle_type,event_id
0.933529,1.24464,-2.09827,1.0,0.000926752,0.000489632,-0.0595363,-0.26776,-0.459653,0.846773,track,272621358
0.770993,-1.11783,-2.00087,1.0,0.000772395,0.000586847,-0.0240913,-0.246329,-0.537007,-0.806812,track,272621358
0.788803,-1.24825,-1.99522,-1.0,0.00089412,0.000531928,-0.0389618,-0.218388,-0.483276,-0.847792,track,272621358
1.42973,-1.30479,-1.874,1.0,0.000791912,0.000587782,-0.0615778,-0.150867,-0.48224,-0.862951,track,272621358
1.26356,-0.83306,-1.85258,-1.0,0.000754607,0.000600268,-0.0616792,-0.20334,-0.702404,-0.682115,track,272621358
2.70083,-1.09944,-1.79412,-1.0,0.000653075,0.000625522,-0.0617989,-0.132798,-0.584713,-0.800297,track,272621358
0.914688,-0.185152,-1.42373,1.0,0.000761299,0.000612659,0.0239706,0.144058,-0.972489,-0.183065,track,272621358
0.725786,-1.18058,-1.33988,1.0,0.000499868,0.000557622,-0.0392262,0.128457,-0.54637,-0.827634,track,272621358
0.874336,0.214163,-1.20867,1.0,0.000719828,0.000604489,0.0238209,0.346295,-0.914101,0.210947,track,272621358
2.71069,0.743376,-1.07272,-1.0,0.00078723,0.000647495,-0.0616699,0.370546,-0.681401,0.63118,track,272621358
1.53084,-0.267319,-0.817236,1.0,0.000897756,0.000774934,-0.0386352,0.660499,-0.703955,-0.261128,track,272621358
10.6886,0.275429,-0.715667,-1.0,0.000663994,0.000547009,-0.0616794,0.726909,-0.631997,0.268669,track,272621358
3.99395,0.290385,-0.687907,1.0,0.000700761,0.000588056,-0.0616095,0.74111,-0.609062,0.282489,track,272621358
1.05537,-0.692083,-0.496105,1.0,0.000446125,0.000104424,-0.0551708,0.704004,-0.381046,-0.599318,track,272621358
1.40706,-0.918037,-0.465321,-1.0,0.000931555,0.00102762,-0.0384084,0.61555,-0.309064,-0.724968,track,272621358
0.877544,0.583404,-0.0475761,1.0,0.000717492,0.000520451,-0.0386828,0.850056,-0.0404729,0.525135,track,272621358
0.989679,-0.364637,0.455938,1.0,0.000635374,0.000781873,-0.0595612,0.841296,0.412572,-0.349292,track,272621358
0.762326,0.451165,0.515869,-1.0,0.000725225,0.000603647,-0.0386906,0.788268,0.447019,0.422857,track,272621358
1.13541,-0.312618,0.704273,1.0,0.000867482,0.000440961,-0.0111177,0.726302,0.61708,-0.302817,track,272621358
0.932286,-1.47589,0.948544,1.0,0.000735621,0.000605612,0.0822445,0.253228,0.353022,-0.900695,track,272621358
