eta,phi,pt,charge,isolationPFChargedHadrCandsPtSum,isolationPFGammaCandsEtSum,maximumHCALPFClusterEt,emFraction,hcalTotOverPLead,hcalMaxOverPLead,hcal3x3OverPLead,ecalStripSumEOverPLead,bremsRecoveryEOverPLead,electronPreIDOutput,electronPreIDDecision,hasMuonReference,caloComp,segComp,muonDecision,event_id
-2.15676,-2.23775,13.9605,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
2.89636,-2.23123,14.632,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-2.92879,-1.23038,14.6932,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
3.75759,-2.18287,7.05443,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-4.48846,-0.24747,6.43506,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-2.93461,-1.96413,15.5761,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-3.06065,-2.93447,16.0897,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
3.99317,1.15498,9.72385,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-4.38888,1.31091,8.70782,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-3.66855,-1.57136,6.54711,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
3.61694,-1.3814,6.46475,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
1.38361,0.777992,7.18805,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
2.91759,2.16197,7.24062,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-3.02395,0.919752,12.0743,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-3.87441,2.35951,7.35792,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
-4.74585,-3.06503,7.38282,0,,,0.0,-1.0,0.0,0.0,0.0,0.0,,-1111.0,0,0,,,1,Event_137440354
